feature_name,feature_category,priority,implementation_difficulty,implementation_order,phase_05B_batch,generic_or_novel,status
load_lag_1_Khulna,Temporal,High,Medium,55,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Dhaka,Statistical,High,Medium,56,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Chattogram,Statistical,High,Medium,57,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Rajshahi,Statistical,High,Medium,58,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Mymensingh,Statistical,High,Medium,59,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Sylhet,Statistical,High,Medium,60,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Barishal,Statistical,High,Medium,61,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Rangpur,Statistical,High,Medium,62,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Cumilla,Statistical,High,Medium,63,Batch 1 — Core,Generic,Proposed
demand_rolling_mean_7_Khulna,Statistical,High,Medium,64,Batch 1 — Core,Generic,Proposed
temperature_anomaly_month,Weather,High,Medium,65,Batch 1 — Core,Generic,Proposed
demand_zscore_30_Dhaka,Statistical,Medium,High,66,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Chattogram,Statistical,Medium,High,67,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Rajshahi,Statistical,Medium,High,68,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Mymensingh,Statistical,Medium,High,69,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Sylhet,Statistical,Medium,High,70,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Barishal,Statistical,Medium,High,71,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Rangpur,Statistical,Medium,High,72,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Cumilla,Statistical,Medium,High,73,Batch 2 — Extended,Generic,Proposed
demand_zscore_30_Khulna,Statistical,Medium,High,74,Batch 2 — Extended,Generic,Proposed
rolling_demand_corr_90d,Graph Candidate,Medium,High,75,Batch 2 — Extended,Generic,Proposed
is_weekend,Temporal,Medium,Low,76,Batch 2 — Extended,Generic,Proposed
regional_accounting_residual_Dhaka,Regional,Medium,Low,77,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Chattogram,Regional,Medium,Low,78,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Rajshahi,Regional,Medium,Low,79,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Mymensingh,Regional,Medium,Low,80,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Sylhet,Regional,Medium,Low,81,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Barishal,Regional,Medium,Low,82,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Rangpur,Regional,Medium,Low,83,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Cumilla,Regional,Medium,Low,84,Batch 2 — Extended,Novel,Proposed
regional_accounting_residual_Khulna,Regional,Medium,Low,85,Batch 2 — Extended,Novel,Proposed
generation_utilization,Grid,Medium,Low,86,Batch 2 — Extended,Generic,Proposed
substation_generation_spread,Grid,Medium,Low,87,Batch 2 — Extended,Novel,Proposed
forecast_min_generation_error,Grid,Medium,Low,88,Batch 2 — Extended,Novel,Proposed
cooling_degree_proxy,Weather,Medium,Low,89,Batch 2 — Extended,Generic,Proposed
shedding_region_count,Operational,Medium,Low,90,Batch 2 — Extended,Novel,Proposed
spatial_demand_dispersion,Graph Candidate,Medium,Low,91,Batch 2 — Extended,Novel,Proposed
dhaka_dominance_index,Regional,Medium,Low,92,Batch 2 — Extended,Generic,Proposed
national_eve_peak_lag_1,Temporal,Medium,Low,93,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Dhaka,Statistical,Medium,Medium,94,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Chattogram,Statistical,Medium,Medium,95,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Rajshahi,Statistical,Medium,Medium,96,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Mymensingh,Statistical,Medium,Medium,97,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Sylhet,Statistical,Medium,Medium,98,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Barishal,Statistical,Medium,Medium,99,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Rangpur,Statistical,Medium,Medium,100,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Cumilla,Statistical,Medium,Medium,101,Batch 2 — Extended,Generic,Proposed
demand_rolling_std_7_Khulna,Statistical,Medium,Medium,102,Batch 2 — Extended,Generic,Proposed
static_geographic_adjacency_prior,Graph Candidate,Low,Medium,103,Batch 3 — Graph/auxiliary,Generic,Proposed
pairwise_demand_gradient,Graph Candidate,Low,Medium,104,Batch 3 — Graph/auxiliary,Novel,Proposed
